#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-08-06T15:17:11 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ598732b534e4	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/525/A71&tab:{J/A+A/525/A71/table2}&key:source=J/A+A/525/A71/table2&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/525/A71/table2
#-order=I
#-out=Name
#-out=SpType
#-out=Teff
#-out=e_Teff
#-out=log(g)
#-out=e_log(g)
#-out=[Fe/H]
#-out=e_[Fe/H]
#
#RESOURCE=yCat_35250071
#Name: J/A+A/525/A71
#Title: Atmospheric parameters for 1273 stars (Wu+, 2011)
#Table	J_A_A_525_A71_table2:
#Name: J/A+A/525/A71/table2
#Title: Physical parameters adopted by this work
#Column	Name	(a10)	Stellar identification	[ucd=meta.id;meta.main]
#Column	SpType	(a12)	MK Spectral type	[ucd=src.spType]
#Column	Teff	(I5)	? Effective temperature [NULL integer written as an empty string]	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	? Error of effective temperature (1) [NULL integer written as an empty string]	[ucd=stat.error;phys.temperature.effective]
#Column	log(g)	(F5.2)	? Log of the surface gravity	[ucd=phys.gravity]
#Column	e_log(g)	(F5.2)	? Error of the log of the surface gravity (1)	[ucd=stat.error]
#Column	[Fe/H]	(F5.2)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F5.2)	? Error of metallicity (1)	[ucd=stat.error;phys.abund.Fe]
#| |K|K|[cm/s2]|[cm/s2]|[Sun]|[Sun]
#---------|------------|-----|----|-----|-----|-----|-----
Name|SpType|Teff|e_Teff|log(g)|e_log(g)|[Fe/H]|e_[Fe/H]
HD000249  |K1IV        | 4757|  28| 2.88| 0.09|-0.29| 0.06
HD000358  |B8IVmnp...  |12307| 180| 4.14| 0.07| 0.38| 0.09
HD000400  |F8IV        | 6215|  45| 4.18| 0.07|-0.24| 0.07
HD000417  |K0III       | 4858|  33| 2.45| 0.10|-0.30| 0.08
HD000693  |F5V         | 6221|  41| 4.14| 0.06|-0.34| 0.06
HD000886  |B2IV        |21397| 382| 3.84| 0.04|-0.06| 0.03
HD001227  |G8II-III    | 5068|  41| 2.81| 0.10| 0.00| 0.09
HD001406  |K3III       | 4349|  20| 2.61| 0.09|-0.13| 0.06
HD001522  |K1.5III     | 4530|  25| 2.25| 0.09| 0.14| 0.05
HD001918  |G9III       | 4896|  33| 2.47| 0.10|-0.42| 0.08
HD001967  |Se...       | 3630|  41| 0.38| 0.52|-1.00| 0.00
HD002126  |K0III-IV    | 4775|  28| 2.79| 0.09|-0.34| 0.06
HD002454  |F6Vawvar    | 6492|  42| 4.12| 0.05|-0.29| 0.06
HD002628  |A7III       | 7305|  56| 3.98| 0.06|-0.07| 0.06
HD002665  |G5IIIw      | 4942|  62| 2.12| 0.20|-2.03| 0.14
HD002796  |Fw          | 4879|  85| 1.82| 0.26|-2.25| 0.19
HD002857  |A2          | 7776|    | 3.19|     |-1.70|
HD002952  |K0III       | 4800|  35| 2.61| 0.11|-0.09| 0.08
HD003268  |F7V         | 6225|  44| 4.11| 0.07|-0.16| 0.06
HD003360  |B2IV        |21652| 505| 3.87| 0.05|-0.08| 0.03
HD003454  |F5          | 6186|  64| 4.30| 0.09|-0.56| 0.11
HD003546  |G8III       | 4979|  43| 2.46| 0.12|-0.64| 0.11
HD003817  |G8III       | 5101|  32| 2.64| 0.08|-0.15| 0.07
HD004128  |K0III       | 4906|  27| 2.63| 0.07| 0.07| 0.06
HD004188  |K0III       | 4859|  24| 2.66| 0.07|-0.04| 0.05
HD004306  |G0          | 4915|  73| 2.01| 0.22|-2.55| 0.15
